delay,freq,textbox.text,condition,,,,,,,,,,,
0.1,1000,400,exp,,,,,,,,,,,
0.1,1000,100,exp,,,,,,,,,,,
0.1,1000,200,exp,,,,,,,,,,,
0.1,1000,200,exp,,,,,,,,,,,
0.1,1000,300,exp,,,,,,,,,,,
0.1,1000,400,exp,,,,,,,,,,,
0.1,1000,300,exp,,,,,,,,,,,
0.1,1000,400,exp,,,,,,,,,,,
0.1,1000,500,exp,,,,,,,,,,,
0.1,1000,300,exp,,,,,,,,,,,
0.1,1000,409,exp,,,,,,,,,,,
0.1,1000,987,exp,,,,,,,,,,,
0.1,1000,767,exp,,,,,,,,,,,
0.1,1000,324,exp,,,,,,,,,,,
0.1,1000,345,exp,,,,,,,,,,,
0.1,1000,343,exp,,,,,,,,,,,
0.1,1000,543,exp,,,,,,,,,,,
0.1,1000,442,exp,,,,,,,,,,,
0.1,1000,111,exp,,,,,,,,,,,
0.1,400,700,unexp,,,,,,,,,,,
0.1,400,300,unexp,,,,,,,,,,,
0.1,400,489,unexp,,,,,,,,,,,
0.1,400,678,unexp,,,,,,,,,,,
0.1,400,600,unexp,,,,,,,,,,,
0.1,400,900,unexp,,,,,,,,,,,
0.1,400,400,unexp,,,,,,,,,,,
0.1,400,500,unexp,,,,,,,,,,,
0.1,400,179,unexp,,,,,,,,,,,
0.1,400,565,unexp,,,,,,,,,,,
0.1,400,787,unexp,,,,,,,,,,,
0.1,400,70,unexp,,,,,,,,,,,
0.1,400,879,unexp,,,,,,,,,,,
0.1,400,333,unexp,,,,,,,,,,,
0.1,400,800,unexp,,,,,,,,,,,
0.1,400,100,unexp,,,,,,,,,,,
0.1,400,989,unexp,,,,,,,,,,,
0.1,400,454,unexp,,,,,,,,,,,
0.1,400,798,unexp,,,,,,,,,,,
0.1,400,900,unexp,,,,,,,,,,,
0.1,400,765,unexp,,,,,,,,,,,
0.1,400,767,unexp,,,,,,,,,,,
0.1,400,222,unexp,,,,,,,,,,,
0.1,400,979,unexp,,,,,,,,,,,
0.1,400,200,unexp,,,,,,,,,,,
0.1,400,700,unexp,,,,,,,,,,,
0.1,400,700,unexp,,,,,,,,,,,
0.1,400,200,unexp,,,,,,,,,,,
0.1,400,600,unexp,,,,,,,,,,,
0.1,400,500,unexp,,,,,,,,,,,
0.1,400,343,unexp,,,,,,,,,,,
0.1,400,555,unexp,,,,,,,,,,,
0.1,400,434,unexp,,,,,,,,,,,
0.4,1000,400,exp,,,,,,,,,,,
0.4,1000,500,exp,,,,,,,,,,,
0.4,1000,600,exp,,,,,,,,,,,
0.4,1000,700,exp,,,,,,,,,,,
0.4,1000,189,exp,,,,,,,,,,,
0.4,1000,500,exp,,,,,,,,,,,
0.4,1000,900,exp,,,,,,,,,,,
0.4,1000,678,exp,,,,,,,,,,,
0.4,1000,456,exp,,,,,,,,,,,
0.4,1000,899,exp,,,,,,,,,,,
0.4,1000,900,exp,,,,,,,,,,,
0.4,1000,304,exp,,,,,,,,,,,
0.4,1000,500,exp,,,,,,,,,,,
0.4,1000,500,exp,,,,,,,,,,,
0.4,1000,600,exp,,,,,,,,,,,
0.4,1000,398,exp,,,,,,,,,,,
0.4,1000,498,exp,,,,,,,,,,,
0.4,1000,700,exp,,,,,,,,,,,
0.4,1000,900,exp,,,,,,,,,,,
0.4,1000,400,exp,,,,,,,,,,,
0.4,1000,222,exp,,,,,,,,,,,
0.4,1000,666,exp,,,,,,,,,,,
0.4,1000,109,exp,,,,,,,,,,,
0.4,1000,800,exp,,,,,,,,,,,
0.4,1000,900,exp,,,,,,,,,,,
0.4,1000,800,exp,,,,,,,,,,,
0.4,1000,500,exp,,,,,,,,,,,
0.4,1000,232,exp,,,,,,,,,,,
0.4,1000,996,exp,,,,,,,,,,,
0.4,1000,676,exp,,,,,,,,,,,
0.4,1000,888,exp,,,,,,,,,,,
0.4,1000,990,exp,,,,,,,,,,,
0.4,1000,500,exp,,,,,,,,,,,
0.4,1000,768,exp,,,,,,,,,,,
0.4,1000,878,exp,,,,,,,,,,,
0.4,1000,324,exp,,,,,,,,,,,
0.4,1000,588,exp,,,,,,,,,,,
0.4,1000,231,exp,,,,,,,,,,,
0.4,1000,787,exp,,,,,,,,,,,
0.4,1000,666,exp,,,,,,,,,,,
0.4,1000,988,exp,,,,,,,,,,,
0.4,1000,787,exp,,,,,,,,,,,
0.4,1000,454,exp,,,,,,,,,,,
0.4,1000,777,exp,,,,,,,,,,,
0.4,1000,333,exp,,,,,,,,,,,
0.4,1000,788,exp,,,,,,,,,,,
0.4,1000,700,exp,,,,,,,,,,,
0.4,1000,779,exp,,,,,,,,,,,
0.4,1000,545,exp,,,,,,,,,,,
0.4,1000,676,exp,,,,,,,,,,,
0.4,1000,576,exp,,,,,,,,,,,
0.4,1000,222,exp,,,,,,,,,,,
0.4,1000,324,exp,,,,,,,,,,,
0.4,1000,555,exp,,,,,,,,,,,
0.4,1000,455,exp,,,,,,,,,,,
0.4,1000,390,exp,,,,,,,,,,,
0.4,1000,899,exp,,,,,,,,,,,
0.4,1000,123,exp,,,,,,,,,,,
0.4,1000,890,exp,,,,,,,,,,,
0.4,1000,324,exp,,,,,,,,,,,
0.4,1000,545,exp,,,,,,,,,,,
0.4,1000,234,exp,,,,,,,,,,,
0.4,1000,555,exp,,,,,,,,,,,
0.4,1000,546,exp,,,,,,,,,,,
0.4,1000,767,exp,,,,,,,,,,,
0.4,1000,989,exp,,,,,,,,,,,
0.4,1000,777,exp,,,,,,,,,,,
0.4,1000,888,exp,,,,,,,,,,,
0.4,1000,111,exp,,,,,,,,,,,
0.4,1000,345,exp,,,,,,,,,,,
0.4,1000,567,exp,,,,,,,,,,,
0.4,1000,534,exp,,,,,,,,,,,
0.4,1000,343,exp,,,,,,,,,,,
0.4,1000,438,exp,,,,,,,,,,,
0.4,1000,700,exp,,,,,,,,,,,
0.4,1000,100,exp,,,,,,,,,,,
0.4,1000,222,exp,,,,,,,,,,,
0.4,1000,300,exp,,,,,,,,,,,
0.4,1000,900,exp,,,,,,,,,,,
0.4,1000,220,exp,,,,,,,,,,,
0.4,1000,133,exp,,,,,,,,,,,
0.4,1000,600,exp,,,,,,,,,,,
0.4,1000,400,exp,,,,,,,,,,,
0.4,1000,200,exp,,,,,,,,,,,
0.4,1000,400,exp,,,,,,,,,,,
0.4,1000,300,exp,,,,,,,,,,,
0.4,1000,400,exp,,,,,,,,,,,
0.4,1000,400,exp,,,,,,,,,,,
0.4,1000,800,exp,,,,,,,,,,,
0.4,1000,500,exp,,,,,,,,,,,
0.4,1000,800,exp,,,,,,,,,,,
0.4,1000,700,exp,,,,,,,,,,,
0.4,1000,323,exp,,,,,,,,,,,
0.4,1000,111,exp,,,,,,,,,,,
0.4,1000,554,exp,,,,,,,,,,,
0.4,1000,666,exp,,,,,,,,,,,
0.4,1000,555,exp,,,,,,,,,,,
0.4,1000,222,exp,,,,,,,,,,,
0.4,1000,111,exp,,,,,,,,,,,
0.4,400,500,unexp,,,,,,,,,,,
0.4,400,300,unexp,,,,,,,,,,,
0.4,400,200,unexp,,,,,,,,,,,
0.4,400,789,unexp,,,,,,,,,,,
0.4,400,700,unexp,,,,,,,,,,,
0.4,400,700,unexp,,,,,,,,,,,
0.4,400,675,unexp,,,,,,,,,,,
0.4,400,300,unexp,,,,,,,,,,,
0.4,400,700,unexp,,,,,,,,,,,
0.4,400,433,unexp,,,,,,,,,,,
0.4,400,434,unexp,,,,,,,,,,,
0.4,400,879,unexp,,,,,,,,,,,
0.4,400,111,unexp,,,,,,,,,,,
0.4,400,999,unexp,,,,,,,,,,,
0.4,400,899,unexp,,,,,,,,,,,
0.4,400,600,unexp,,,,,,,,,,,
0.4,400,386,unexp,,,,,,,,,,,
0.4,400,799,unexp,,,,,,,,,,,
0.4,400,600,unexp,,,,,,,,,,,
0.4,400,575,unexp,,,,,,,,,,,
0.4,400,333,unexp,,,,,,,,,,,
0.4,400,134,unexp,,,,,,,,,,,
0.4,400,200,unexp,,,,,,,,,,,
0.4,400,978,unexp,,,,,,,,,,,
0.4,400,700,unexp,,,,,,,,,,,
0.4,400,500,unexp,,,,,,,,,,,
0.4,400,600,unexp,,,,,,,,,,,
0.4,400,300,unexp,,,,,,,,,,,
0.4,400,400,unexp,,,,,,,,,,,
0.4,400,300,unexp,,,,,,,,,,,
0.4,400,484,unexp,,,,,,,,,,,
0.4,400,222,unexp,,,,,,,,,,,
0.4,400,342,unexp,,,,,,,,,,,
0.7,1000,900,exp,,,,,,,,,,,
0.7,1000,345,exp,,,,,,,,,,,
0.7,1000,999,exp,,,,,,,,,,,
0.7,1000,700,exp,,,,,,,,,,,
0.7,1000,900,exp,,,,,,,,,,,
0.7,1000,300,exp,,,,,,,,,,,
0.7,1000,899,exp,,,,,,,,,,,
0.7,1000,456,exp,,,,,,,,,,,
0.7,1000,989,exp,,,,,,,,,,,
0.7,1000,565,exp,,,,,,,,,,,
0.7,1000,800,exp,,,,,,,,,,,
0.7,1000,990,exp,,,,,,,,,,,
0.7,1000,900,exp,,,,,,,,,,,
0.7,1000,400,exp,,,,,,,,,,,
0.7,1000,700,exp,,,,,,,,,,,
0.7,1000,800,exp,,,,,,,,,,,
0.7,1000,800,exp,,,,,,,,,,,
0.7,1000,800,exp,,,,,,,,,,,
0.7,1000,700,exp,,,,,,,,,,,
0.7,1000,458,exp,,,,,,,,,,,
0.7,1000,111,exp,,,,,,,,,,,
0.7,1000,500,exp,,,,,,,,,,,
0.7,1000,800,exp,,,,,,,,,,,
0.7,1000,900,exp,,,,,,,,,,,
0.7,1000,888,exp,,,,,,,,,,,
0.7,1000,980,exp,,,,,,,,,,,
0.7,1000,600,exp,,,,,,,,,,,
0.7,1000,400,exp,,,,,,,,,,,
0.7,1000,800,exp,,,,,,,,,,,
0.7,1000,676,exp,,,,,,,,,,,
0.7,1000,900,exp,,,,,,,,,,,
0.7,1000,990,exp,,,,,,,,,,,
0.7,1000,800,exp,,,,,,,,,,,
0.7,1000,545,exp,,,,,,,,,,,
0.7,1000,676,exp,,,,,,,,,,,
0.7,1000,456,exp,,,,,,,,,,,
0.7,1000,545,exp,,,,,,,,,,,
0.7,1000,238,exp,,,,,,,,,,,
0.7,1000,888,exp,,,,,,,,,,,
0.7,1000,545,exp,,,,,,,,,,,
0.7,1000,444,exp,,,,,,,,,,,
0.7,1000,878,exp,,,,,,,,,,,
0.7,1000,888,exp,,,,,,,,,,,
0.7,1000,999,exp,,,,,,,,,,,
0.7,1000,767,exp,,,,,,,,,,,
0.7,1000,434,exp,,,,,,,,,,,
0.7,1000,555,exp,,,,,,,,,,,
0.7,1000,676,exp,,,,,,,,,,,
0.7,1000,444,exp,,,,,,,,,,,
0.7,1000,900,exp,,,,,,,,,,,
0.7,1000,246,exp,,,,,,,,,,,
0.7,1000,990,exp,,,,,,,,,,,
0.7,1000,666,exp,,,,,,,,,,,
0.7,1000,333,exp,,,,,,,,,,,
0.7,1000,9,exp,,,,,,,,,,,
0.7,1000,400,exp,,,,,,,,,,,
0.7,1000,200,exp,,,,,,,,,,,
0.7,1000,466,exp,,,,,,,,,,,
0.7,1000,456,exp,,,,,,,,,,,
0.7,1000,333,exp,,,,,,,,,,,
0.7,1000,656,exp,,,,,,,,,,,
0.7,1000,565,exp,,,,,,,,,,,
0.7,1000,767,exp,,,,,,,,,,,
0.7,1000,325,exp,,,,,,,,,,,
0.7,1000,545,exp,,,,,,,,,,,
0.7,1000,767,exp,,,,,,,,,,,
0.7,1000,444,exp,,,,,,,,,,,
0.7,1000,222,exp,,,,,,,,,,,
0.7,1000,666,exp,,,,,,,,,,,
0.7,1000,407,exp,,,,,,,,,,,
0.7,1000,234,exp,,,,,,,,,,,
0.7,1000,352,exp,,,,,,,,,,,
0.7,1000,800,exp,,,,,,,,,,,
0.7,1000,800,exp,,,,,,,,,,,
0.7,1000,400,exp,,,,,,,,,,,
0.7,1000,200,exp,,,,,,,,,,,
0.7,1000,122,exp,,,,,,,,,,,
0.7,1000,800,exp,,,,,,,,,,,
0.7,1000,900,exp,,,,,,,,,,,
0.7,1000,600,exp,,,,,,,,,,,
0.7,1000,500,exp,,,,,,,,,,,
0.7,1000,600,exp,,,,,,,,,,,
0.7,1000,800,exp,,,,,,,,,,,
0.7,1000,200,exp,,,,,,,,,,,
0.7,1000,200,exp,,,,,,,,,,,
0.7,1000,300,exp,,,,,,,,,,,
0.7,1000,500,exp,,,,,,,,,,,
0.7,1000,500,exp,,,,,,,,,,,
0.7,1000,600,exp,,,,,,,,,,,
0.7,1000,900,exp,,,,,,,,,,,
0.7,1000,600,exp,,,,,,,,,,,
0.7,1000,767,exp,,,,,,,,,,,
0.7,1000,545,exp,,,,,,,,,,,
0.7,1000,234,exp,,,,,,,,,,,
0.7,1000,333,exp,,,,,,,,,,,
0.7,1000,666,exp,,,,,,,,,,,
0.7,1000,0,exp,,,,,,,,,,,
0.7,1000,2,exp,,,,,,,,,,,
0.7,1000,234,exp,,,,,,,,,,,
0.7,400,200,unexp,,,,,,,,,,,
0.7,400,500,unexp,,,,,,,,,,,
0.7,400,300,unexp,,,,,,,,,,,
0.7,400,666,unexp,,,,,,,,,,,
0.7,400,200,unexp,,,,,,,,,,,
0.7,400,152,unexp,,,,,,,,,,,
0.7,400,444,unexp,,,,,,,,,,,
0.7,400,600,unexp,,,,,,,,,,,
0.7,400,800,unexp,,,,,,,,,,,
0.7,400,943,unexp,,,,,,,,,,,
0.7,400,676,unexp,,,,,,,,,,,
0.7,400,467,unexp,,,,,,,,,,,
0.7,400,454,unexp,,,,,,,,,,,
0.7,400,999,unexp,,,,,,,,,,,
0.7,400,444,unexp,,,,,,,,,,,
0.7,400,967,unexp,,,,,,,,,,,
0.7,400,232,unexp,,,,,,,,,,,
0.7,400,666,unexp,,,,,,,,,,,
0.7,400,608,unexp,,,,,,,,,,,
0.7,400,787,unexp,,,,,,,,,,,
0.7,400,444,unexp,,,,,,,,,,,
0.7,400,234,unexp,,,,,,,,,,,
0.7,400,450,unexp,,,,,,,,,,,
0.7,400,234,unexp,,,,,,,,,,,
0.7,400,200,unexp,,,,,,,,,,,
0.7,400,600,unexp,,,,,,,,,,,
0.7,400,900,unexp,,,,,,,,,,,
0.7,400,100,unexp,,,,,,,,,,,
0.7,400,600,unexp,,,,,,,,,,,
0.7,400,400,unexp,,,,,,,,,,,
0.7,400,384,unexp,,,,,,,,,,,
0.7,400,748,unexp,,,,,,,,,,,
0.7,400,111,unexp,,,,,,,,,,,
